RemoteSystemId,SourceId,Upc,VariantUpcId,VariantID,ProductId,ProductTypeId,ProductTypeName
002533862,1,2100000665464,4778927,10538631,16702408,0,Not Set
002534225,1,2100000617203,4760151,10529242,16699266,0,Not Set
002534226,1,2100000617210,4760167,10529247,16699266,0,Not Set
002534234,1,2100000617296,4760297,10529315,16699268,0,Not Set
002534255,1,2100000617500,4749899,10524116,16702412,0,Not Set
002534256,1,2100000617517,4749935,10524134,16702412,0,Not Set
002534595,1,2100000753932,4802820,10550577,16702418,0,Not Set
002534597,1,2100000753963,4802837,10550586,16699303,0,Not Set
002534605,1,2100000754076,4777831,10538082,16699679,0,Not Set
002535059,1,2100000527526,4759096,10528714,16738201,0,Not Set
002535064,1,2100000527571,4759135,10528734,16738201,0,Not Set
002535091,1,2100000781195,4747805,10523069,16738203,0,Not Set
002536800,1,2100000226153,4791747,10545040,16702417,0,Not Set
002536894,1,2100000817597,4797281,10547806,16743186,0,Not Set
002536909,1,2100000750788,4748263,10523298,16743187,0,Not Set
002536948,1,2100000596973,4769901,10534117,16740837,0,Not Set
002536971,1,2100000600793,4745941,10522137,16740838,0,Not Set
002536983,1,2100000625161,4768619,10533475,16699606,0,Not Set
002536997,1,2100000728930,4784853,10541593,16743189,0,Not Set
002536998,1,2100000728947,4784860,10541597,16743189,0,Not Set
002539418,1,2100000324187,4791619,10544976,16702419,0,Not Set
002539813,1,2100000792887,4744643,10521488,16495990,0,Not Set
002539814,1,2100000792894,4744655,10521494,16495990,0,Not Set
002541113,1,2100000727636,4744417,10521375,16738791,0,Not Set
002541114,1,2100000727643,4744439,10521385,16738791,0,Not Set
002541139,1,2100000730384,4757905,10528120,16738793,0,Not Set
002541140,1,2100000730391,4757912,10528123,16738793,0,Not Set
002541260,1,2100000756483,4767691,10533013,16743192,0,Not Set
002541710,1,2100000850228,4790765,10544549,16743194,0,Not Set
002541723,1,2100000851195,4756415,10527375,16743193,0,Not Set
002541829,1,2100000622139,4801899,10550117,16702295,0,Not Set
002541830,1,2100000622146,4801901,10550118,16702295,0,Not Set
002543368,1,2100000031245,4741963,10520148,16738843,0,Not Set
002543370,1,2100000031269,4741971,10520152,16738843,0,Not Set
002543434,1,2100000850525,4766449,10532392,16738862,0,Not Set
002543504,1,2100000712854,4795265,10546799,16738803,0,Not Set
002543508,1,2100000712595,4766231,10532279,16738804,0,Not Set
002543518,1,2100000798155,4766801,10532568,16738806,0,Not Set
002543520,1,2100000798179,4766833,10532584,16738806,0,Not Set
002543534,1,2100000736799,4801199,10549766,16738808,0,Not Set
002543555,1,2100000713844,4756519,10527425,16738809,0,Not Set
002543556,1,2100000713851,4756525,10527429,16738809,0,Not Set
002543566,1,2100000713790,4783015,10540674,16743197,0,Not Set
